aic,atc
003559046,G03BA03
003559059,G03BA03
003561026,A06AB
003565013,A11CA
004496016,B02BC
004496030,B02BC
004496042,B02BC
004496055,B02BC
004496067,B02BC
004496079,B02BC
004496081,B02BC
004500017,D10AB
004509016,N02CA02
004509028,N02CA02
004509030,N02CA02
004514079,A06AB
001266055,A13A
001266067,A13A
001277019,A06AB56
001277021,A06AB56
001295017,A05AA
001295029,A05AA
001328018,A11HA30
001328020,A11HA30
001328032,A11HA30
001340025,A11HA02
001340052,A11HA02
001350014,A11CA01
001363011,N02BA01
001363035,N02BA01
001363047,N02BA01
001363062,N02BA01
002513012,A11GB
002516033,D04AA10
002516045,D04AA10
002516060,D04AA10
002516072,D04AA10
002518025,A03DA
002577017,A06AB20
002587018,R01AA08
002588034,C01CA
002588046,C01CA
003565025,A11CA
003588074,R06AA
003588086,R06AA
003588098,D04AA
003588100,R06AA
003588112,R05FB
003588124,R06AA02
003588136,D04AA32
003588148,R06AA02
003604016,A07FA01
003604028,A07FA01
003604030,A07FA01
004514081,A06AB04
004514093,A06AB04
004514117,A06AB04
004532014,R05CA
004532026,R05CA10
004533030,N05CX
004535011,N01BB02
004535023,N01BB02
004535035,D04AB01
004535047,N01BB02
004535050,N01BB02
004535062,N01BB02
004535074,N01BB02
004535098,N01BB02
004535175,N01BB02
004535187,N01BB02
004535199,N01BB02
001363074,N02BA01
001363086,N02BA01
001363112,N02BA01
001363124,N02BA01
001363136,N02BA01
001363148,N02BA51
001363163,N02BA
001363175,N02BA01
001363187,N02BA51
001363199,N02BA51
001440039,N02BE
001440041,N02BE
001440054,N02BE
001440066,N02BE51
001440078,N02BE51
001442019,R05X
001460017,A16AA
002646026,C04AX
002646040,C04AX
002646065,A03AD01
002646077,A03AD01
002678050,N02BB04
002678062,N02BB04
002678074,N02BB04
002678086,N02BB04
002695017,A11EX
002695029,A11EX
002699015,A11GA01
002699039,A11GA01
002699041,A11GA01
002699066,A11GA01
002715023,P03AB51
003604042,A07FA01
003636026,A02AD
003671017,J07AM51
003671029,J07AM51
003671056,J07AM51
003671068,J07AM51
003671070,J07AM51
003671082,J07AM51
003671094,J07AM51
003678012,R05X
003710011,D08AX
003710023,D08AX
003714019,A07BA51
004535201,D04AB01
004535213,N01BB02
004556015,N03AA02
004556027,N03AA02
004556039,N03AA02
004558134,N02BE51
004558146,N02BE51
004558159,N02BE51
004558161,N02BE51
004558173,N02BE51
004558185,N02BE51
004558197,N02BE51
004558209,N02BE51
004561015,H02AB10
001460029,A16AA
001460031,A16AA01
001463037,A11BA
001500026,A11GA01
001500053,A11GA01
001500089,A11GA
001500115,A11GA
001500141,A11GA01
001520028,A11EA
001537012,N01AF03
002737017,R05DA20
002737029,R05DA20
002737031,R05DA20
002737043,R05DA20
002737056,R05DA20
002737068,R05DA20
002737070,R05DA20
002737082,R05DA20
002755027,A06AB
002755054,A06AB
002755066,A06AB
002780029,B02BX03
002792012,G03CA57
002792024,G03CA57
003714021,A07BA51
003714033,A07BA51
003714045,A07BA51
003746017,A12AX
003746029,A12AX
003746031,A12AX
003746827,C08CA01
003762111,N02BA01
003762135,N02BA01
003762147,N02BA01
003762186,N02BA01
003762198,N02BA01
003763012,G03GA01
003763036,G03GA01
003763048,G03GA01
004574012,A11GA
004574024,A11GA
004583011,A02AB
004583023,A02AG
004583035,A02AG
004583047,A02AG
004594014,N07BC
004594026,N07BC
004601011,N02BA01
004601023,N02BA51
004601035,N02BA
004601047,N02BA51
004601050,N02BA51
004601062,N02BA51
004604017,A09AA
004604031,A09AA
001557026,B03BA01
001569033,N02BE51
001569058,N02BE51
001569060,N02BE51
001569072,N02BE51
001578018,D04AX
001585052,R05FA02
001585064,R05FA02
001635034,C05CA
001635046,C05CX
001635059,C05CX
001635061,C05CX
001635073,C05CA
001635085,C05CX
002792036,G03CA57
002792048,G03CA57
002792063,G03CA57
002792075,G03CA
002792087,G03CA
002792099,G03CA57
002792125,G03CA57
002792176,G03CA57
002792188,G03CA57
002792190,G03CA57
002792202,G03CA57
002806077,N02BE
002806089,N02BE51
002806091,N02BE51
002807016,A05AX
002807028,A05AX
003763063,G03GA01
003763087,G03GA01
003763101,G03GA01
003763113,G03GA01
003763125,G03GA01
003763137,G03GA01
003763149,G03GA01
003763152,G03GA01
003763164,G03GA01
003763176,G03GA01
003763188,G03GA01
003763190,G03GA01
003763202,G03GA01
003763214,G03GA01
003763226,G03GA01
003763238,G03GA01
004604043,A09AA
004609018,G03CA
004609020,G03CA03
004614032,A11EA
004614044,A11EA
004614069,A11EA
004625012,R03DA
004625024,R03DA
004625036,R03DA
004625048,R03DA
004639011,A06AB20
004642031,A11DA01
001635147,C05CX
001635150,C05CX
001635162,C05CX
001635174,C05CX
001635186,C05CA
001635198,C05CX
001661014,H03AA05
001661026,H03AA05
001663018,A06AB
001663020,A06AB
001678010,S01GA
001688011,A02AG
001721024,A11GA01
001721036,A11GA01
002807030,A06AB57
002807042,A06AB57
002832032,A11EA
002832044,A11EA
002839013,R02AA
002839037,R02AA
002851018,N03AB52
002860017,N03AA02
002860029,N03AA02
002860031,N03AA02
002860043,N03AA02
002866046,G01AA
002866059,G01AA
002866085,J01BA01
002866097,J01BA01
002866109,D06AX02
003763240,G03GA01
003763253,G03GA01
003763265,G03GA01
003763277,G03GA01
003763289,G03GA01
003763291,G03GA01
003763303,G03GA01
003785019,B03BA01
003785033,B03BA01
003785045,B03BA01
003785058,B03BA01
003785072,A11DB
003789017,A06AB20
003803057,N05CM
004642068,A11DA01
004642070,A11DA01
004650014,N07BC
004667010,G01AX03
004667022,G01AX03
004667034,D08AE
004672034,C04AC
004695021,J07AX
004695045,J07AX
004695072,J07AX
004696011,A11BA
004696023,A11BA
004696035,A11BA
004696050,A11BA
004696062,A11BA
001721048,A11GA01
001738018,A11CB
001738020,A11CB
001738032,A11CB
001738044,A11CB
001738057,A11CB
001738119,A11CB
001740024,D04AA
001740051,D04AA32
001740063,D04AA32
001755038,N02BE51
001773011,A11HA
001773035,A11HA
002866111,J01BA
002866162,S01AA01
002866174,G01AA05
002866186,G01AA05
002866198,S02AA01
002866200,D06AX02
002866212,J01BA
002866224,J01BA01
002866236,D06AX02
002866248,J01BA01
002866251,S01AA01
002868014,G03FA04
002876011,S01EB01
002876023,S01EB01
002880021,A06AB
003803095,N05CX
003803107,N05CX
003803119,N05CX
003817018,M02AC
003820014,R03DA01
003820038,R03DA01
003861034,J01CE01
003863014,A11HA03
004698027,V03AB14
004698039,V03AB14
004758025,A06AB06
004758037,A06AB06
004758049,A06AB06
004763025,N02BA01
004763037,N02BA01
004763049,N02BA01
004763052,N02BA01
004763064,N02BA
004763088,N02BA
004763090,N02BA01
004763114,N02BA51
004763126,N02BA51
001773047,A11HA03
001773050,A11HA03
001790043,A11HA03
001790056,A11HA03
001790068,A11HA03
001798014,A05C
001801012,P01CB01
001802014,R02AA20
001802026,A01AD11
001848035,A06AB05
001848047,A06AB05
002906016,R06AA02
002906028,R06AA
002906030,R06AA02
002918011,A03AD
002918023,A03AD
002918035,A03AD
002918047,A03AD01
002918050,A03AD01
002919013,N02BB
002919025,N02BB
002922021,G03BA
002922033,G03BA
002922045,G03BA
002922058,G03BA03
002922060,G03BA03
002924013,A06AB20
003863026,A11HA03
003871011,R06AB05
003880010,A11EA
003880022,A11EA
003880034,A11EA
003903010,C05BA
003903022,C05BA51
003909037,A11DA
003929041,N05CB
003946011,N02CA01
003946035,N02CA01
003946047,N02CA01
004763153,N02BA51
004763165,N02BA51
004763203,N02BA51
004763227,N02BA
004763241,N02BA01
004763254,N02BA01
004763266,N02BA01
004763278,N02BA01
004763280,N02BA01
004763304,N02BA51
004763316,N02BA51
004763328,N02BA51
004763330,N02BA51
004763342,N02BA01
004763355,N02BA01
004763367,N02BA01
004763379,N02BA01
004763381,N02BA01
001858012,R05FB
001858024,R05FB
001861020,A06AB20
001861044,A06AB20
001861057,A06AB20
001863012,R05FA
001866019,J07AX
001898055,R05CA
001910025,A11BA
002924025,A06AB20
002924037,A06AB20
002946010,D08AJ
002952012,A11GA01
002952036,A11GA01
002952051,A11GA01
002952063,A11GA01
002955021,R06AA02
002955033,A04AD
002955058,R06AA02
002955060,R06AA02
002955072,R06AA02
002955108,R06AA02
002955110,A04AD
002955122,R06AA02
002955134,R06AA02
002961011,J07AX
002962013,D08AF01
003946050,N02CA01
003946062,N02CA01
003950019,R01AB05
003952013,J07AM51
003952025,J07AM51
003955010,N02BA
003955022,N02BA
003955034,N02BA
003959044,A11GA01
003959069,A11GA01
003960046,M02AC
003972015,J07AJ52
004020018,R05DA
004763393,N02BA01
004763405,N02BA01
004763417,N02BA01
004763544,N02BA01
004763557,N02BA01
004763595,N02BA01
004763619,N02BA51
004773014,B01AB01
004773026,B01AB
004773040,B01AB01
004805014,R05CA
004829026,A02AH
004840017,B05BA03
004840029,B05BA03
001924024,A03AC
001924036,A03AC
001947011,N02BB54
001990023,R05CA
002014064,C05CA01
002015016,A02AB03
002021018,R03DA05
002021020,R03DA05
002021032,R03DA05
002021044,R03DA05
002962025,D08AF01
002962037,G01AX
002963015,A06AB
002977015,C01AA
002977027,C01AA
002977039,C01AA
002991026,A11BA
002992016,J01GA01
003008012,R02AA20
003008048,R05X
003008051,R05CA10
003008063,R05CA10
003018013,J04AA
003023049,A06AB
003040019,R05DB
004020020,R05DA
004022012,J04BA
004031011,G01AA
004033015,R01AX10
004091017,A10AB
004091029,A10AB
004091043,A10AA
004091068,A10AA
004091094,A10AA
004097010,A11BA
004097022,A11BA
004097034,A11BA
004123028,R02AA02
004123030,R02AA02
004840031,B05BA03
004840056,B05BA03
004843037,A06AB57
004843049,A06AB57
004844015,M02AB01
004844027,M02AB01
004844039,M02AB01
004844041,M02AB01
004853014,N05CM09
004853026,N05CM09
004853038,N05CM09
004853040,N05CM09
004853053,N05CM09
004853065,N05CM09
002021057,R03DA05
002021069,R03DA04
002038038,N02BB04
002039028,J01AA03
002039042,S01AA02
002039055,D06AA02
002054017,S01AX
002054029,S01GA51
002055010,S01FA01
002089086,A01AB
002089098,A01AB
003040021,R05DB
003060011,J01CE01
003060023,J01CE01
003090014,A11GA01
003090026,A11GA01
003097021,J07AP
003117049,A11GB01
003117052,A11GB01
003117064,A11GB01
003136013,R01AX10
003136025,R01AX10
004127015,J07AJ52
004127027,J07AJ52
004127039,J07AJ52
004146015,R05CA
004146027,R05CA
004146041,R05CA
004152017,A02AD01
004154035,A09AA02
004158010,R01AX
004158022,R01AX
004158034,R01AX
004158046,R01AB
004158059,R01AB
004158061,R01AX
004172021,N02BE51
004880011,A11CA01
004880023,A11CA01
004880035,A11CA01
004880047,A11CA01
004894010,S01AB
004897017,S01EB01
004897029,S01EB01
004901017,R02AA
004901029,R02AA20
004901031,R02AA20
004901043,R02AA20
004901056,R02AA20
004901068,R02AA20
004901070,R02AA20
004901082,R02AA20
004901094,R02AA20
004901106,R02AA20
002089100,A01AB
002089112,A01AB
002089124,A01AB
002089136,A01AB
002089148,A01AB
002089151,A01AB11
002089163,A01AB11
002089175,A01AB11
002089187,A01AB11
002089199,A01AB11
002089201,A01AB11
002089213,A01AB11
002101018,N02BA01
002101020,N02BA01
002101032,N02BA01
002101044,N02BA01
003160025,A06AB
003214018,R02AB02
003221025,A06AB
003235049,S01GA01
003235064,S01GA01
003235076,S01GA01
003246016,C01AC
003247018,G03GA01
003247020,G03GA01
003247032,G03GA01
003247044,G03GA01
004172033,N02BE51
004173011,H02AA03
004173023,H02AA03
004177010,A06AB
004181018,S01XA
004181020,S01XA
004181032,S01XA
004190017,N02BA51
004190029,N02BA51
004190031,N02BA51
