aic,atc
031553175,B05BB
031553187,B05BB
031553199,B05BB
031553201,B05BB
031553213,B05BB
031553225,B05BB
031553237,B05BB
031554013,B05BB
031512357,B05ZA
031512369,B05ZA
031512371,B05ZA
031512383,B05ZA
031512395,B05ZA
031512407,B05ZA
031512419,B05ZA
031512421,B05ZA
031513017,B05ZA
031513029,B05ZA
031513031,B05ZA
031514019,B05DA
031514021,B05DA
031514033,B05DA
031514045,B05DA
031514058,B05DA
031514060,B05DA
031514072,B05DA
031532056,B05DA
031532068,B05DA
031532070,B05DA
031532082,B05DA
031532094,B05DA
031532106,B05DA
031532118,B05DA
031532169,B05DA
031532171,B05DA
031532183,B05DA
031532195,B05DA
031532207,B05DA
031532219,B05DA
031532221,B05DA
031532233,B05DA
031532245,B05DA
031532258,B05DA
031532272,B05DA
031545306,B05BB
031545318,B05BB
031545320,B05BB
031545332,B05BB
031545344,B05BB
031545357,B05BB
031545369,B05BB
031545371,B05BB01
031545383,B05BB
031545395,B05BB
031545407,B05BB
031545419,B05BB
031545421,B05BB
031545433,B05BB
031545445,B05BB
031554025,B05BB
031554037,B05BB
031554049,B05BB
031554052,B05BB
031554064,B05BB
031554076,B05BB
031554088,B05BB
031554090,B05BB
031554102,B05BB
031554114,B05BB
031554126,B05BB
031554138,B05BB
031554140,B05BB
031554153,B05BB
031514084,B05DA
031514096,B05DA
031515012,B05ZA
031515024,B05ZA
031515036,B05ZA
031515048,B05ZA
031515051,B05ZA
031515063,B05ZA
031515075,B05ZA
031515087,B05ZA
031515099,B05ZA
031515101,B05ZA
031515113,B05ZA
031515125,B05ZA
031515137,B05ZA
031515149,B05ZA
031515152,B05ZA
031515164,B05ZA
031532284,B05DA
031532296,B05DA
031532308,B05DA
031532310,B05DA
031532322,B05DA
031532334,B05DA
031532346,B05DA
031533019,B05ZB
031533021,B05ZB
031533033,B05ZB
031533045,B05ZB
031533058,B05ZB
031533060,B05ZB
031533072,B05ZB
031533084,B05ZB
031533096,B05ZB
031533108,B05ZB
031533110,B05ZB
031533134,B05ZB
031545458,B05BB
031545460,B05BB
031545472,B05BB
031545484,B05BB
031545496,B05BB
031545508,B05BB
031545510,B05BB
031545522,B05BB
031545534,B05BB
031545546,B05BB
031545559,B05BB
031545561,B05BB
031545573,B05BB
031545585,B05BB
031545597,B05BB
031554165,B05BB
031554177,B05BB
031554189,B05BB
031554191,B05BB
031554203,B05BB
031554215,B05BB
031554227,B05BB
031554239,B05BB
031555016,B05BC
031555028,B05BC
031555030,B05BC
031555042,B05BC
031555055,B05BC
031555067,B05BC
031555079,B05BC
031515176,B05ZA
031515188,B05ZA
031515190,B05ZA
031515202,B05ZA
031515214,B05ZA
031515226,B05ZA
031515238,B05ZA
031515240,B05ZA
031515253,B05ZA
031515265,B05ZA
031515277,B05ZA
031515289,B05ZA
031515291,B05ZA
031515303,B05ZA
031515315,B05ZA
031515327,B05ZA
031515339,B05ZA
031515341,B05ZA
031533146,B05ZB
031533159,B05ZB
031533161,B05ZB
031533173,B05ZB
031533185,B05ZB
031533197,B05ZB
031533209,B05ZB
031533211,B05ZB
031533223,B05ZB
031533235,B05ZB
031533247,B05ZB
031533250,B05ZB
031533262,B05ZB
031533274,B05ZB
031533286,B05ZB
031533298,B05ZB
031533300,B05ZB
031534011,V07AB
031534023,V07AB
031545609,B05BB
031545611,B05BB
031545623,B05BB
031545635,B05BB
031545647,B05BB
031545650,B05BB
031545662,B05BB
031545674,B05BB
031545686,B05BB
031545698,B05BB
031546017,B05BB
031546029,B05BB
031546031,B05BB
031546043,B05BB
031555081,B05BC
031555093,B05BC
031555105,B05BC
031555117,B05BC
031555129,B05BC
031555131,B05BC
031555143,B05BC
031555156,B05BC
031555168,B05BC
031555170,B05BC
031555182,B05BC
031555194,B05BC
031555206,B05BC
031555218,B05BC
031555220,B05BC
031555232,B05BC
031556018,B05BB02
031515354,B05ZA
031515366,B05ZA
031515378,B05ZA
031515380,B05ZA
031515392,B05ZA
031515404,B05ZA
031515416,B05ZA
031515428,B05ZA
031516014,B05ZA
031516026,B05ZA
031516038,B05ZA
031516040,B05ZA
031516053,B05ZA
031516065,B05ZA
031516077,B05ZA
031516089,B05ZA
031516091,B05ZA
031516103,B05ZA
031534035,V07AB
031534047,V07AB
031534050,V07AB
031534062,V07AB
031534074,V07AB
031534086,V07AB
031534098,V07AB
031534100,V07AB
031534112,V07AB
031534151,V07AB
031534163,V07AB
031534175,V07AB
031534187,V07AB
031534199,V07AB
031534201,V07AB
031534213,V07AB
031546056,B05BB
031546068,B05BB
031546070,B05BB
031546082,B05BB
031546094,B05BB
031546106,B05BB
031546118,B05BB
031546120,B05BB
031546132,B05BB
031546144,B05BB
031546157,B05BB
031546169,B05BB
031546171,B05BB
031556020,B05BB02
031556032,B05BB02
031556044,B05BB02
031556057,B05BB
031556069,B05BB
031556071,B05BB02
031556083,B05BB02
031556095,B05BB02
031556107,B05BB02
031556119,B05BB02
031556121,B05BB02
031556133,B05BB02
031556145,B05BB02
031556158,B05BB02
031556160,B05BB02
031516115,B05ZA
031516127,B05ZA
031516139,B05ZA
031516141,B05ZA
031516154,B05ZA
031516166,B05ZA
031516178,B05ZA
031516180,B05ZA
031516192,B05ZA
031516204,B05ZA
031516216,B05ZA
031516228,B05ZA
031516230,B05ZA
031516242,B05ZA
031516255,B05ZA
031516267,B05ZA
031516279,B05ZA
031516281,B05ZA
031534225,V07AB
031534237,V07AB
031535014,B05ZA
031535026,B05ZA
031535038,B05ZA
031535040,B05ZA
031535053,B05ZA
031535065,B05ZA
031535077,B05ZA
031535089,B05ZA
031535091,B05ZA
031535103,B05ZA
031536016,V07AB
031536028,V07AB
031536030,V07AB
031536042,V07AB
031536055,V07AB
031546183,B05BB
031546195,B05BB
031546207,B05BB
031546219,B05BB
031546221,B05BB
031546233,B05BB
031547019,B05BB
031547021,B05BB
031547033,B05BB
031547045,B05BB
031547058,B05BB
031547060,B05BB
031547072,B05BB
031556172,B05BB02
031556184,B05BB02
031556196,B05BB
031556208,B05BB
031556210,B05BB
031556222,B05BB
031556234,B05BB
031556246,B05BB
031556259,B05BB
031556261,B05BB
031556273,B05BB
031556285,B05BB
031556297,B05BB
031556309,B05BB02
031745019,R05FA
031746011,D08AX
031747013,D04AA
031748015,N02BB
031749017,R01AX
031750019,D11AF
031750021,D11AF
031750033,D11AF
031753015,D04AX
031757014,N05CM
031759018,D08AD
031759020,D08AD
031762014,A11EA
031763016,D02AB
031763028,D02AB
031764018,A12CX
031769019,B02BC
031770011,B02BC
031771013,M01AE
031772015,C08CA05
031561374,B05BB02
031561386,B05BB
031561398,B05BB
031561400,B05BB
031561412,B05BB
031561424,B05BB
031561436,B05BB
031561448,B05BB
031561451,B05BB
031561463,B05BB02
031561475,B05BB
031561487,B05BB
031561499,B05BB
031561501,B05BB
031561513,B05BB
031569205,B05BB01
031569217,B05BB01
031569229,B05BB01
031569231,B05BB01
031569243,B05BB01
031569256,B05BB01
031569268,B05BB01
031569270,B05BB01
031569282,B05BB01
031569294,B05BB01
031569306,B05BB01
031569318,B05BB01
031569320,B05BB01
031569332,B05BB01
031569344,B05BB01
031569357,B05BB01
031569369,B05BB01
031569371,B05BB01
031576174,B05BC01
031576186,B05BC
031576198,B05BC01
031576200,B05BC
031576212,B05BC01
031576224,B05BC
031576236,B05BC01
031577012,B05BB
031577024,B05BB
031577036,B05BB
031577048,B05BB
031577051,B05BB
031577063,B05BB
031577075,B05BB
031577087,B05BB
031577099,B05BB
031773017,G03CA03
031773029,G03CA03
031773031,G03CA03
031774019,B05BA01
031774021,B05BA01
031774033,B05BA01
031774045,B05BA01
031776014,N03AF01
031776026,N03AF01
031776038,N03AF01
031776040,N03AF01
031777016,D11AF
031778018,D11AF
031779010,D08AD
031779022,D08AD
031780012,D08AX
031780024,D08AX
031780036,D08AX
031561525,B05BB
031561537,B05BB
031561549,B05BB
031561552,B05BB
031561564,B05BB
031561576,B05BB
031561588,B05BB
031561590,B05BB
031561602,B05BB02
031561614,B05BB
031561626,B05BB
031561638,B05BB
031561640,B05BB
031561653,B05BB
031561665,B05BB
031569383,B05BB01
031569395,B05BB01
031569407,B05BB01
031569419,B05BB01
031569421,B05BB01
031569433,B05BB01
031569445,B05BB01
031569458,B05BB01
031569460,B05BB01
031569472,B05BB01
031569484,B05BB01
031569496,B05BB01
031569508,B05BB01
031569510,B05BB01
031569522,B05BB01
031569534,B05BB01
031569546,B05BB01
031569559,B05BB01
031577101,B05BB
031577113,B05BB
031577125,B05BB
031577137,B05BB
031577149,B05BB
031577152,B05BB
031577164,B05BB
031577176,B05BB
031577188,B05BB
031577190,B05BB
031577202,B05BB
031577214,B05BB
031577226,B05BB
031577238,B05BB
031577240,B05BB
031557198,B05BA
031557200,B05BA
031557212,B05BA
031557224,B05BA
031557236,B05BA
031557248,B05BA03
031557251,B05BA03
031557263,B05BA03
031557275,B05BA03
031557287,B05BA03
031557299,B05BA03
031557301,B05BA03
031557313,B05BA03
031557325,B05BA03
031557337,B05BA03
031557349,B05BA03
031557352,B05BA03
031557364,B05BA03
031557376,B05BA03
031557388,B05BA03
031561677,B05BB
031561689,B05BB
031561691,B05BB
031562010,B05BC
031562022,B05BC
031562034,B05BC
031562046,B05BC
031562059,B05BC
031562061,B05BC
031562073,B05BC
031562085,B05BC
031562097,B05BC
031562109,B05BC
031562111,B05BC
031562123,B05BC
031562135,B05BC
031562147,B05BC
031569561,B05BB01
031569573,B05BB01
031569585,B05BB01
031569597,B05BB01
031569609,B05BB01
031569611,B05BB01
031569623,B05BB01
031569635,B05BB01
031569647,B05BB01
031569650,B05BB01
031569662,B05BB01
031569674,B05BB01
031569686,B05BB01
031569698,B05BB01
031569700,B05BB01
031569712,B05BB01
031569724,B05BB01
031569736,B05BB01
031577253,B05BB
031577265,B05BB
031577277,B05BB
031577289,B05BB
031577291,B05BB
031577303,B05BB
031577315,B05BB
031577327,B05BB
031577339,B05BB
031577341,B05BB
031577354,B05BB
031577366,B05BB
031577378,B05BB
031577380,B05BB
031577392,B05BB
031557390,B05BA03
031557402,B05BA03
031557414,B05BA
031557426,B05BA
031557438,B05BA
031557440,B05BA
031557453,B05BA
031557465,B05BA
031557477,B05BA
031557489,B05BA
031557491,B05BA
031557503,B05BA
031557515,B05BA
031557527,B05BA
031557539,B05BA03
031557541,B05BA03
031557554,B05BA03
031557566,B05BA03
031557578,B05BA03
031562150,B05BC
031562162,B05BA
031562174,B05BC
031562186,B05BA
031562198,B05BC
031562200,B05BA
031562212,B05BC
031562224,B05BA
031562236,B05BC
031562248,B05BC
031562251,B05BC
031562263,B05BC
031562275,B05BC
031562287,B05BC
031562299,B05BC
031562301,B05BC
031562313,B05BC
031569748,B05BB01
031569751,B05BB01
031569763,B05BB01
031569775,B05BB01
031569787,B05BB01
031569799,B05BB01
031569801,B05BB01
031569813,B05BB01
031569825,B05BB01
031569837,B05BB01
031569849,B05BB01
031569852,B05BB01
031569864,B05BB01
031569876,B05BB01
031569888,B05BB01
031569890,B05BB01
031569902,B05BB01
031569914,B05BB01
031577404,B05BB
031577416,B05BB
031577428,B05BB
031577430,B05BB
031577442,B05BB
031577455,B05BB
031577467,B05BB
031577479,B05BB
031577481,B05BB
031577493,B05BB
031577505,B05BB
031577517,B05BB
031577529,B05BB
031577531,B05BB
031577543,B05BB
031557580,B05BA03
031557592,B05BA03
031557604,B05BA03
031557616,B05BA03
031557628,B05BA03
031557630,B05BA03
031557642,B05BA
031557655,B05BA
031557667,B05BA
031557679,B05BA
031557681,B05BA
031557693,B05BA
031558012,B05BA
031558024,B05BA
031558036,B05BA
031558048,B05BA
031558051,B05BA
031558063,B05BA
031558075,B05BA
031562325,B05BC
031562337,B05BC
031562349,B05BC
031562352,B05BC
031562364,B05BC
031562376,B05BC
031562388,B05BC
031562390,B05BC
031562402,B05BC
031562414,B05BC
031562426,B05BC
031562438,B05BC
031562440,B05BC
031562453,B05BC
031562465,B05BC
031562477,B05BC
031562489,B05BC
031569926,B05BB01
031569938,B05BB01
031570017,V07AB
031570029,V07AB
031570031,V07AB
031570043,V07AB
031570056,V07AB
031570068,V07AB
031570070,V07AB
031570082,B05BB01
031570094,B05BB01
031570106,B05BB01
031570118,B05BB01
031570120,B05BB01
031570132,B05BB01
031570144,B05BB01
031570157,B05BB01
031570169,B05BB01
031577556,B05BB
031577568,B05BB
031577570,B05BB
031577582,B05BB
031577594,B05BB
031577606,B05BB
031577618,B05BB
031577620,B05BB
031577632,B05BB
031577644,B05BB
031577657,B05BB
031577669,B05BB
031577671,B05BB
031577683,B05BB
031577695,B05BB
031558087,B05BA
031558099,B05BA
031558101,B05BA03
031558113,B05BA03
031558164,B05BA03
031558188,B05BA
031558190,B05BA
031558202,B05BA
031558214,B05BA
031558226,B05BA
031558238,B05BA03
031558240,B05BA
031558253,B05BA
031558265,B05BA
031558277,B05BA
031558289,B05BA
031558291,B05BA
031562491,B05BC
031562503,B05BC
031562515,B05BC
031562527,B05BC
031562539,B05BC
031562541,B05BC
031562554,B05BC
031562566,B05BC
031562578,B05BC
031562580,B05BC
031562592,B05BC
031562604,B05BC
031562616,B05BC
031562628,B05BC
031562630,B05BC
031562642,B05BC
031562655,B05BC
031570171,B05BB01
031570183,B05BB01
031570195,B05BB01
031570207,B05BB01
031570219,B05BB01
031570221,B05BB01
031570233,B05BB01
031570245,V07AB
031570258,V07AB
031570260,V07AB
031570272,V07AB
031570284,V07AB
031570296,V07AB
031570308,V07AB
031570310,V07AB
031570322,V07AB
031570334,V07AB
031570346,B05BB01
031578014,A16AA01
031579016,S01HA02
031579028,S01HA02
031579055,S01HA02
031580018,L02BB01
031580032,L02BB01
031581010,B05BA03
031582012,B05BB01
031583014,B05BB01
031584016,B05BB02
031585019,B05BB01
031585021,B05BB01
031586011,B05BB01
031586023,B05BB01
031587013,B05BC01
031587025,B05BC01
031587037,B05BC01
031558303,B05BA
031558315,B05BA
031558327,B05BA
031558339,B05BA
031558341,B05BA
031558354,B05BA
031558366,B05BA
031558378,B05BA
031558380,B05BA
031558392,B05BA
031558404,B05BA
031558416,B05BA
031558428,B05BA
031558430,B05BA
031558442,B05BA
031558455,B05BA
031558467,B05BA03
031562667,B05BC
031562679,B05BC
031562681,B05BC
031562693,B05BC
031563012,B05BB01
031563024,B05BB01
031563036,B05BB01
031563048,B05BB01
031563051,B05BB01
031563063,B05BB01
031563075,B05BB01
031563087,B05BB01
031563099,B05BB01
031563101,B05BB01
031563113,B05BB01
031563125,B05BB01
031570359,B05BB01
031570361,B05BB01
031570373,B05BB01
031570385,B05BB01
031570397,V07AB
031570409,B05BB01
031570411,V07AB
031570423,B05BB01
031570435,V07AB
031570447,V07AB
031570450,V07AB
031570462,B05BB01
031570474,V07AB
031570486,V07AB
031570498,V07AB
031570500,V07AB
031570512,V07AB
031591011,R01AB
031594017,A11GA
031596012,D11AF
031597014,D08AD
031597026,D08AD
031601014,J01MB02
031605013,A02AB01
031610013,R01AX
031610025,R01AX
031610037,R01AX
031612017,A02AH
031612029,A02AH
031612031,A02AH
031612043,A02AH
031612056,A02AH
031613019,D08AX
031615014,M02AX
031615026,M02AX10
031615038,M02AX10
031558479,B05BA
031558481,B05BA
031558493,B05BA
031558505,B05BA
031558517,B05BA
031558529,B05BA
031558531,B05BA
031558543,B05BA
031558556,B05BA
031558568,B05BA
031558570,B05BA
031558582,B05BA
031558594,B05BA
031558606,B05BA
031558618,B05BA
031558620,B05BA
031558632,B05BA
031558644,B05BA
031563164,B05BB01
031563176,B05BB01
031563188,B05BB01
031563190,B05BB01
031563202,B05BB
031563214,B05BB01
031563226,B05BB01
031563238,B05BB01
031564014,B05BB02
031564026,B05BB02
031564038,B05BB02
031564040,B05BB02
031564053,B05BB02
031564065,B05BB02
031564077,B05BB02
031564089,B05BB02
031570524,V07AB
031570536,V07AB
031570548,V07AB
031570551,V07AB
031570563,V07AB
031570575,B05BB01
031570587,B05BB01
031570599,B05BB01
031570601,B05BB01
031570613,B05BB01
031570625,B05BB01
031570637,B05BB01
031570649,V07AB
031570652,B05BB01
031570664,V07AB
031570676,V07AB
031570688,V07AB
031615040,M02AX10
031615053,M02AX10
031616016,A07BA
031618010,P01BC01
031620014,D01AE
031621016,R05DA09
031621028,R05DA09
031621030,R05DA09
031622018,N06AB03
031622020,N06AB03
031623010,R06AA
031624012,A04AD
031626017,A06AA01
031627019,D01AE
031629013,A06AX01
031631017,D08AE03
031633011,A06AX
031633023,A06AX
031633035,A06AX
031558657,B05BA
031558669,B05BA
031558671,B05BA03
031558683,B05BA
031558695,B05BA
031558707,B05BA
031558719,B05BA
031558721,B05BA
031558733,B05BA
031558745,B05BA
031558758,B05BA
031558760,B05BA
031558772,B05BA
031558784,B05BA
031558796,B05BA
031558808,B05BA
031558810,B05BA
031558822,B05BA
031564091,B05BB02
031564103,B05BB02
031564115,B05BB02
031564127,B05BB02
031564139,B05BB02
031564141,B05BB02
031564154,B05BB02
031564166,B05BB02
031564178,B05BB02
031564180,B05BB02
031564192,B05BB02
031564204,B05BB02
031564216,B05BB02
031564228,B05BB02
031564230,B05BB02
031570690,B05BB01
031570702,B05BB01
031571019,B05BB01
031571021,B05BB01
031571033,B05BB01
031571045,B05BB01
031571058,B05BB01
031571060,B05BB01
031571072,B05BB01
031572011,B05XA
031572023,B05XA
031572035,B05XA
031572047,B05XA
031572050,B05XA
031572062,B05XA
031572074,B05XA
031572086,B05XA
031572098,B05XA
031633047,A06AX
031633050,A06AX
031633062,A06AX
031633074,A06AX01
031634013,D08AG
031634025,D08AG
031634037,D08AG
031634049,D08AG
031634052,D08AG
031634064,D08AG
031634076,D08AG
031635016,D10AB
031635028,D10AB
031635030,D10AB
031635042,D10AB
031635055,D10AB
031635067,D10AB
031637010,A06AB
031637022,A06AB
031638012,A07FA
031558834,B05BA
031558846,B05BA
031558859,B05BA
031558861,B05BA
031558873,B05BA
031558885,B05BA
031558897,B05BA
031558909,B05BA
031558911,B05BA
031558935,B05BA
031558947,B05BA
031558950,B05BA
031558962,B05BA
031558974,B05BA
031558986,B05BA
031558998,B05BA
031559014,B05BA
031565017,B05BB01
031565029,B05BB01
031565031,B05BB01
031565043,B05BB01
031565056,B05BB01
031565068,B05BB01
031565070,B05BB01
031565082,B05BB01
031565094,B05BB01
031565106,B05BB01
031565118,B05BB01
031565120,B05BB01
031565169,B05BB01
031565171,B05BB01
031565183,B05BB01
031572100,B05XA
031572112,B05XA
031572124,B05XA
031572136,B05XA
031572148,B05XA
031572151,B05XA
031572163,B05XA
031572175,B05XA
031572187,B05XA
031572199,B05XA
031572201,B05XA
031572213,B05XA
031572225,B05XA
031572237,B05XA
031572249,B05XA
031572252,B05XA
031572264,B05XA
031572276,B05XA
031572288,B05XA
031639014,A06AD
031640016,N05AN
031642010,D08AK
031642022,D08AK
031642034,D08AK
031642046,D08AK
031642059,D08AK04
031643012,M02AC
031643024,M02AC
031644014,A06AG04
031644026,A06AG04
031644038,A06AG04
031645017,A01AD
031645029,A01AD
031647011,N01BB01
031647023,N01BB51
031647035,N01BB01
031647047,N01BB51
031647050,N01BB01
031647062,N01BB01
031559026,B05BA
031559038,B05BA
031559040,B05BA
031559053,B05BA
031559065,B05BA
031559077,B05BA
031559089,B05BA
031559091,B05BA
031559103,B05BA
031559115,B05BA
031559127,B05BA
031559139,B05BA
031559141,B05BA
031559154,B05BA
031559166,B05BA
031559178,B05BA
031559180,B05BA
031565195,B05BB01
031565207,B05BB01
031565219,B05BB01
031565221,B05BB01
031565233,B05BB01
031566019,B05BB02
031566021,B05BB02
031566033,B05BB02
031566045,B05BB02
031566058,B05BB02
031566060,B05BB02
031566072,B05BB02
031566084,B05BB02
031566096,B05BB02
031566108,B05BB02
031572290,B05XA
031572302,B05XA
031572314,B05XA
031572326,B05XA
031572338,B05XA
031572340,B05XA
031572353,B05XA
031572365,B05XA
031572377,B05XA
031572389,B05XA
031572391,B05XA
031572403,B05XA
031572415,B05XA
031572427,B05XA
031572439,B05XA
031572441,B05XA
031572454,B05XA
031572466,B05XA
031573013,V03AB
031647074,N01BB01
031647086,N01BB01
031647098,N01BB01
031647100,N01BB01
031647112,N01BB01
031647136,N01BB01
031647148,N01BB01
031647163,N01BB01
031647175,N01BB01
031647199,N01BB01
031647201,N01BB01
031651019,A06AA01
031651021,A06AA01
031651033,A06AA01
031651045,A06AA01
031653013,S01CC01
031654015,R01AX
031654027,R01AX
031655018,N02BE
031656010,D02AX
031656022,D02AX
031559192,B05BA
031559204,B05BA
031559216,B05BA
031559228,B05BA
031559230,B05BA
031559242,B05BA
031559255,B05BA
031559267,B05BA
031559279,B05BA
031559281,B05BA
031559293,B05BA
031559305,B05BA
031559317,B05BA
031559329,B05BA
031559331,B05BA03
031559343,B05BA
031559356,B05BA
031566110,B05BB02
031566122,B05BB02
031566134,B05BB02
031566146,B05BB02
031566159,B05BB02
031566161,B05BB02
031566173,B05BB02
031566185,B05BB02
031566197,B05BB02
031566209,B05BB02
031566211,B05BB02
031566223,B05BB02
031566235,B05BB02
031567011,B05BB01
031573025,V03AB
031573037,V03AB
031573052,V03AB
031573064,V03AB
031573076,V03AB
031573088,V03AB
031573090,V03AB
031573102,V03AB
031573114,V03AB
031573126,V03AB
031573138,V03AB
031573140,V03AB
031573153,V03AB
031573165,V03AB
031573177,V03AB
031573189,V03AB
031573191,V03AB
031573203,V03AB
031573215,V03AB
031573227,V03AB
031573239,V03AB
031657012,R05FA
031658014,D08AX
031659016,D04AA
031661010,R01AX
031662012,D11AF
031662024,D11AF
031662036,D11AF
031666011,D04AX
031670019,N05CM
031671023,D02AC
031672013,D08AD
031672025,D08AD
031673015,D02AB
031673027,D02AB
031674017,A06AA01
031676012,A11EA
031678016,B05BC
031682014,B02BC
031686013,A11GA
031559368,B05BA
031559370,B05BA
031559382,B05BA
031559394,B05BA03
031560016,B05BB
031560028,B05BB
031560030,B05BB
031560042,B05BB
031560055,B05BB
031560079,B05BB
031560081,B05BB
031560093,B05BB
031560105,B05BB
031560117,B05BB
031560129,B05BB
031567023,B05BB01
031567035,B05BB01
031567047,B05BB01
031567050,B05BB01
031567062,B05BB01
031567074,B05BB01
031567086,B05BB01
031567098,B05BB01
031567100,B05BB01
031567112,B05BB01
031567124,B05BB01
031567163,B05BB01
031567175,B05BB01
031567187,B05BB01
031567199,B05BB01
031574015,V07AC
031574027,V07AC
031574039,V07AC
031574041,V07AC
031574054,V07AC
031574066,V07AC
031574078,V07AC
031574080,V07AC
031574092,V07AC
031574104,V07AC
031574116,V07AC
031574128,V07AC
031574130,V07AC
031574142,V07AC
031574155,V07AC
031691013,D08AX
031693017,J01MB02
031696014,D08AX
031697016,A02AD01
031699010,D02AX
031701016,D02AX
031702018,R01AX
031702020,R01AX
031702032,R01AX
031705015,D08AX
031707019,M02AX
031707021,M02AX
031707033,M02AX
031708011,A07BA
031710015,P01BC01
031712019,D01AE
031713011,R05DA09
031713023,R05DA09
031560131,B05BB
031560156,B05BB
031560168,B05BB
031560170,B05BB
031560182,B05BB
031560194,B05BB
031560206,B05BB
031560218,B05BB
031560220,B05BB
031560232,B05BB
031561018,B05BB
031561020,B05BB
031561032,B05BB
031561044,B05BB
031561057,B05BB
031567201,B05BB01
031567213,B05BB01
031567225,B05BB01
031567237,B05BB01
031568013,B05BB02
031568025,B05BB02
031568037,B05BB02
031568049,B05BB02
031568052,B05BB02
031568064,B05BB02
031568076,B05BB02
031568088,B05BB02
031568090,B05BB02
031568102,B05BB02
031574167,V07AC
031574179,V07AC
031574181,V07AC
031574193,V07AC
031574205,V07AC
031574217,V07AC
031574229,V07AC
031574231,V07AC
031575018,V07AC
031575020,V07AC
031575032,V07AC
031575044,V07AC
031575057,V07AC
031575069,V07AC
031575071,V07AC
031714013,R06AA
031715016,A04AD
031716018,R03CA
031717010,A06AA01
031718012,D01AE
031719014,A01AD
031721018,D02AX
031722010,D08AE
031723012,A06AX
031723024,A06AX
031723036,A06AX
031723048,A06AX
031723051,A06AX
031723063,A06AX
031723075,A06AX
031724014,D08AG
031724026,D08AG
031724038,D08AG
031724040,D08AG
031561069,B05BB
031561071,B05BB
031561083,B05BB
031561095,B05BB
031561107,B05BB
031561119,B05BB
031561121,B05BB
031561133,B05BB
031561158,B05BB
031561160,B05BB
031561172,B05BB
031561184,B05BB
031561196,B05BB
031561208,B05BB
031561210,B05BB
031568114,B05BB02
031568126,B05BB02
031568138,B05BB02
031568140,B05BB02
031568153,B05BB02
031568165,B05BB02
031568177,B05BB02
031568189,B05BB02
031568191,B05BB02
031568203,B05BB02
031568215,B05BB02
031568227,B05BB02
031568239,B05BB02
031569015,B05BB01
031575083,V07AC
031575095,V07AC
031575107,V07AC
031575119,V07AC
031575121,V07AC
031575133,V07AC
031575145,V07AC
031575158,V07AC
031575160,V07AC
031575172,V07AC
031575184,V07AC
031575196,V07AC
031575208,V07AC
031575210,V07AC
031725017,D10AB
031725029,D10AB
031725031,D10AB
031725043,G01AX
031725056,D10AB
031725068,D10AB
031725070,D10AB
031727011,A06AB
031727023,A06AB
031729015,A06AD
031730017,N05AN
031731019,A06AD04
031733013,D08AK
031733025,D08AK
031733037,D08AK
031733049,D08AK
031733052,D08AK04
031734015,M02AC
031734027,M02AC
031561222,B05BB
031561234,B05BB
031561246,B05BB
031561259,B05BB
031561261,B05BB
031561273,B05BB
031561285,B05BB
031561297,B05BB
031561309,B05BB
031561311,B05BB
031561323,B05BB
031561335,B05BB
031561347,B05BB
031561350,B05BB
031561362,B05BB
031569027,B05BB01
031569039,B05BB01
031569041,B05BB01
031569054,B05BB01
031569066,B05BB01
031569078,B05BB01
031569080,B05BB01
031569092,B05BB01
031569104,B05BB01
031569116,B05BB01
031569128,B05BB01
031569130,B05BB01
031569142,B05BB01
031569155,B05BB01
031569167,B05BB01
031569179,B05BB01
031569181,B05BB01
031569193,B05BB01
031575222,V07AC
031575234,V07AC
031576010,B05BC01
031576022,B05BC01
031576034,B05BC01
031576046,B05BC01
031576059,B05BC01
031576061,B05BC01
031576073,B05BC01
031576085,B05BC01
031576097,B05BC01
031576109,B05BC01
031576111,B05BC01
031576123,B05BC01
031576135,B05BC01
031576147,B05BC01
031576150,B05BC01
031576162,B05BC
031735018,A06AG
031735020,A06AG
031735032,A06AG
031737012,M02AX
031737024,M02AX
031739016,A06AB
031739028,A06AB
031739030,A06AB
031739042,A06AB
031739055,A06AB
031740018,A06AA01
031740020,A06AA01
031740032,A06AA01
031740044,A06AA01
031742012,R01AX
031742024,R01AX
031743014,N02BE
031744016,D02AX
031744028,D02AX
031939010,G02AB03
031939022,G02AB03
031939034,G02AB03
031939046,G02AB03
031939059,G02AB03
031939061,G02AB03
031939073,G02AB03
031939085,G02AB03
031939097,G02AB03
031939109,G02AB03
031940012,N02CA02
031940024,N02CA02
031940036,N02CA02
031940048,N02CA02
031940051,N02CA02
031940063,N02CA02
031940075,N02CA02
031940087,N02CA02
031859022,C01CA24
031860012,A12AA03
031860024,A12AA03
031861014,B05XX
031861026,B05XX
031861038,B05XX
031861040,B05XX
031862016,J01CF02
031862028,J01CF02
031862030,J01CF02
031862042,J01CF02
031863018,J01CE08
031863020,J01CE08
031864010,J01GB03
031864022,J01GB03
031864034,J01GB03
031865013,C01CA04
031865025,C01CA04
031913864,V07AC
031913876,V07AC
031913888,V07AC
031913890,V07AC
031913902,V07AC
031913914,V07AC
031913926,V07AC
031913938,V07AC
031913940,V07AC
031913953,V07AC
031913965,V07AC
031913977,V07AC
031913989,V07AC
031913991,V07AC
031914017,B05XA30
031914029,B05XA30
031914031,B05XA30
031928373,A12AA03
031928385,A12AA03
031928397,A12AA03
031928409,A12AA03
031928411,A12AA03
031928423,A12AA03
031929019,P01BC01
031929021,P01BC01
031929033,P01BC01
031929045,P01BC01
